Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2018-12-30T00:00Z,222,233,moderate
2018-12-30T00:30Z,218,225,moderate
2018-12-30T01:00Z,210,215,moderate
2018-12-30T01:30Z,197,221,moderate
2018-12-30T02:00Z,191,211,moderate
2018-12-30T02:30Z,188,198,moderate
2018-12-30T03:00Z,193,187,moderate
2018-12-30T03:30Z,197,185,moderate
2018-12-30T04:00Z,193,196,moderate
2018-12-30T04:30Z,187,198,moderate
2018-12-30T05:00Z,183,198,moderate
2018-12-30T05:30Z,179,190,moderate
2018-12-30T06:00Z,176,181,moderate
2018-12-30T06:30Z,175,178,moderate
2018-12-30T07:00Z,173,176,moderate
2018-12-30T07:30Z,169,174,moderate
2018-12-30T08:00Z,164,170,moderate
2018-12-30T08:30Z,170,165,moderate
2018-12-30T09:00Z,180,164,moderate
2018-12-30T09:30Z,190,175,moderate
2018-12-30T10:00Z,196,186,moderate
2018-12-30T10:30Z,197,194,moderate
2018-12-30T11:00Z,195,197,moderate
2018-12-30T11:30Z,199,196,moderate
2018-12-30T12:00Z,203,192,moderate
2018-12-30T12:30Z,203,199,moderate
2018-12-30T13:00Z,203,202,moderate
2018-12-30T13:30Z,208,201,moderate
2018-12-30T14:00Z,217,205,moderate
2018-12-30T14:30Z,225,214,moderate
2018-12-30T15:00Z,235,220,moderate
2018-12-30T15:30Z,247,231,moderate
2018-12-30T16:00Z,265,242,high
2018-12-30T16:30Z,275,257,high
2018-12-30T17:00Z,273,275,high
2018-12-30T17:30Z,268,281,high
2018-12-30T18:00Z,267,279,high
2018-12-30T18:30Z,268,271,high
2018-12-30T19:00Z,264,267,high
2018-12-30T19:30Z,259,266,moderate
2018-12-30T20:00Z,245,261,moderate
2018-12-30T20:30Z,231,255,moderate
2018-12-30T21:00Z,218,237,moderate
2018-12-30T21:30Z,207,225,moderate
2018-12-30T22:00Z,201,216,moderate
2018-12-30T22:30Z,194,207,moderate
2018-12-30T23:00Z,183,199,moderate
2018-12-30T23:30Z,171,191,moderate
2018-12-31T00:00Z,167,181,moderate
2018-12-31T00:30Z,157,168,low
2018-12-31T01:00Z,159,157,low
2018-12-31T01:30Z,160,159,moderate
2018-12-31T02:00Z,161,161,moderate
2018-12-31T02:30Z,167,160,moderate
2018-12-31T03:00Z,165,166,moderate
2018-12-31T03:30Z,157,172,low
2018-12-31T04:00Z,150,162,low
2018-12-31T04:30Z,152,155,low
2018-12-31T05:00Z,155,149,low
2018-12-31T05:30Z,158,155,low
2018-12-31T06:00Z,170,159,moderate
2018-12-31T06:30Z,181,165,moderate
2018-12-31T07:00Z,190,178,moderate
2018-12-31T07:30Z,189,190,moderate
2018-12-31T08:00Z,190,194,moderate
2018-12-31T08:30Z,201,191,moderate
2018-12-31T09:00Z,213,189,moderate
2018-12-31T09:30Z,219,206,moderate
2018-12-31T10:00Z,221,215,moderate
2018-12-31T10:30Z,226,223,moderate
2018-12-31T11:00Z,226,225,moderate
2018-12-31T11:30Z,224,231,moderate
2018-12-31T12:00Z,225,225,moderate
2018-12-31T12:30Z,223,218,moderate
2018-12-31T13:00Z,227,219,moderate
2018-12-31T13:30Z,228,221,moderate
2018-12-31T14:00Z,222,228,moderate
2018-12-31T14:30Z,223,224,moderate
2018-12-31T15:00Z,222,218,moderate
2018-12-31T15:30Z,224,219,moderate
2018-12-31T16:00Z,228,218,moderate
2018-12-31T16:30Z,235,224,moderate
2018-12-31T17:00Z,235,231,moderate
2018-12-31T17:30Z,233,237,moderate
2018-12-31T18:00Z,227,241,moderate
2018-12-31T18:30Z,218,232,moderate
2018-12-31T19:00Z,208,225,moderate
2018-12-31T19:30Z,197,211,moderate
2018-12-31T20:00Z,185,201,moderate
2018-12-31T20:30Z,166,188,moderate
2018-12-31T21:00Z,152,175,low
2018-12-31T21:30Z,143,156,low
2018-12-31T22:00Z,136,147,low
2018-12-31T22:30Z,134,136,low
2018-12-31T23:00Z,122,134,low
2018-12-31T23:30Z,114,130,low
2019-01-01T00:00Z,112,116,low
