"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"United Kingdom (UK)","01.01.2019 00:00 - 01.01.2019 00:30 (CET)","1420","n/e","n/e","6933","75","6","n/e","n/e","n/e","0","","429","n/e","n/e","6941","68","n/e","0","n/e","3085","6538"
"United Kingdom (UK)","01.01.2019 00:30 - 01.01.2019 01:00 (CET)","1093","n/e","n/e","6509","64","0","n/e","n/e","n/e","0","","428","n/e","n/e","6942","64","n/e","0","n/e","3177","6517"
"United Kingdom (UK)","01.01.2019 01:00 - 01.01.2019 01:30 (CET)","1059","n/e","n/e","5993","63","0","n/e","n/e","n/e","0","","419","n/e","n/e","6930","65","n/e","0","n/e","3142","6305"
"United Kingdom (UK)","01.01.2019 01:30 - 01.01.2019 02:00 (CET)","1044","n/e","n/e","6075","63","0","n/e","n/e","n/e","105","","389","n/e","n/e","6868","63","n/e","0","n/e","3254","6098"
"United Kingdom (UK)","01.01.2019 02:00 - 01.01.2019 02:30 (CET)","1025","n/e","n/e","6176","63","0","n/e","n/e","n/e","0","","377","n/e","n/e","6832","63","n/e","0","n/e","3341","6216"
"United Kingdom (UK)","01.01.2019 02:30 - 01.01.2019 03:00 (CET)","1022","n/e","n/e","5395","64","0","n/e","n/e","n/e","0","","370","n/e","n/e","6829","63","n/e","0","n/e","3214","5974"
"United Kingdom (UK)","01.01.2019 03:00 - 01.01.2019 03:30 (CET)","1021","n/e","n/e","4942","65","0","n/e","n/e","n/e","0","","357","n/e","n/e","6829","63","n/e","0","n/e","3123","5768"
"United Kingdom (UK)","01.01.2019 03:30 - 01.01.2019 04:00 (CET)","1016","n/e","n/e","5331","65","0","n/e","n/e","n/e","0","","341","n/e","n/e","6823","63","n/e","0","n/e","3193","5705"
"United Kingdom (UK)","01.01.2019 04:00 - 01.01.2019 04:30 (CET)","1016","n/e","n/e","5363","65","0","n/e","n/e","n/e","0","","326","n/e","n/e","6825","63","n/e","0","n/e","3009","5377"
"United Kingdom (UK)","01.01.2019 04:30 - 01.01.2019 05:00 (CET)","1013","n/e","n/e","4883","66","0","n/e","n/e","n/e","0","","323","n/e","n/e","6811","65","n/e","0","n/e","2961","5337"
"United Kingdom (UK)","01.01.2019 05:00 - 01.01.2019 05:30 (CET)","1011","n/e","n/e","4986","66","0","n/e","n/e","n/e","0","","398","n/e","n/e","6797","64","n/e","0","n/e","2886","5014"
"United Kingdom (UK)","01.01.2019 05:30 - 01.01.2019 06:00 (CET)","1011","n/e","n/e","4947","66","0","n/e","n/e","n/e","0","","401","n/e","n/e","6784","64","n/e","0","n/e","3064","4876"
"United Kingdom (UK)","01.01.2019 06:00 - 01.01.2019 06:30 (CET)","1012","n/e","n/e","5086","65","0","n/e","n/e","n/e","0","","430","n/e","n/e","6769","64","n/e","0","n/e","2956","4758"
"United Kingdom (UK)","01.01.2019 06:30 - 01.01.2019 07:00 (CET)","1016","n/e","n/e","5471","65","0","n/e","n/e","n/e","0","","447","n/e","n/e","6751","64","n/e","0","n/e","2918","4612"
