"Balancing Time Unit (UTC)","+ Imbalance Price [GBP/MWh] - MBA|GB","- Imbalance Price [GBP/MWh] - MBA|GB","Total Imbalance [MWh] - MBA|GB","Situation","Status"
"01.01.2018 00:00 - 01.01.2018 00:30","55.94","55.94","39","","Final"
"01.01.2018 00:30 - 01.01.2018 01:00","55.94","55.94","167","","Final"
"01.01.2018 01:00 - 01.01.2018 01:30","62.94","62.94","110","","Final"
"01.01.2018 01:30 - 01.01.2018 02:00","31.00","31.00","143","","Final"
"01.01.2018 02:00 - 01.01.2018 02:30","60.81","60.81","71","","Final"
"01.01.2018 02:30 - 01.01.2018 03:00","65.00","65.00","153","","Final"
"01.01.2018 03:00 - 01.01.2018 03:30","67.86","67.86","383","","Final"
"01.01.2018 03:30 - 01.01.2018 04:00","65.77","65.77","304","","Final"
"01.01.2018 04:00 - 01.01.2018 04:30","64.02","64.02","162","","Final"
"01.01.2018 04:30 - 01.01.2018 05:00","61.42","61.42","35","","Final"
"01.01.2018 05:00 - 01.01.2018 05:30","59.65","59.65","51","","Final"
"01.01.2018 05:30 - 01.01.2018 06:00","65.00","65.00","267","","Final"
"01.01.2018 06:00 - 01.01.2018 06:30","65.00","65.00","565","","Final"
"01.01.2018 06:30 - 01.01.2018 07:00","65.00","65.00","550","","Final"
"01.01.2018 07:00 - 01.01.2018 07:30","65.00","65.00","174","","Final"
"01.01.2018 07:30 - 01.01.2018 08:00","63.92","63.92","24","","Final"
"01.01.2018 08:00 - 01.01.2018 08:30","18.17","18.17","332","","Final"
"01.01.2018 08:30 - 01.01.2018 09:00","21.84","21.84","41","","Final"
"01.01.2018 09:00 - 01.01.2018 09:30","55.94","55.94","157","","Final"
"01.01.2018 09:30 - 01.01.2018 10:00","64.96","64.96","337","","Final"
"01.01.2018 10:00 - 01.01.2018 10:30","62.42","62.42","270","","Final"
"01.01.2018 10:30 - 01.01.2018 11:00","65.00","65.00","585","","Final"
"01.01.2018 11:00 - 01.01.2018 11:30","66.03","66.03","658","","Final"
"01.01.2018 11:30 - 01.01.2018 12:00","68.00","68.00","784","","Final"
"01.01.2018 12:00 - 01.01.2018 12:30","68.00","68.00","530","","Final"
"01.01.2018 12:30 - 01.01.2018 13:00","68.00","68.00","430","","Final"
"01.01.2018 13:00 - 01.01.2018 13:30","69.90","69.90","563","","Final"
"01.01.2018 13:30 - 01.01.2018 14:00","65.00","65.00","256","","Final"
"01.01.2018 14:00 - 01.01.2018 14:30","36.84","36.84","298","","Final"
"01.01.2018 14:30 - 01.01.2018 15:00","35.60","35.60","469","","Final"
"01.01.2018 15:00 - 01.01.2018 15:30","38.87","38.87","367","","Final"
"01.01.2018 15:30 - 01.01.2018 16:00","40.05","40.05","412","","Final"
"01.01.2018 16:00 - 01.01.2018 16:30","38.18","38.18","421","","Final"
"01.01.2018 16:30 - 01.01.2018 17:00","45.15","45.15","50","","Final"
"01.01.2018 17:00 - 01.01.2018 17:30","40.08","40.08","162","","Final"
"01.01.2018 17:30 - 01.01.2018 18:00","41.76","41.76","132","","Final"
"01.01.2018 18:00 - 01.01.2018 18:30","38.41","38.41","481","","Final"
"01.01.2018 18:30 - 01.01.2018 19:00","36.64","36.64","299","","Final"
"01.01.2018 19:00 - 01.01.2018 19:30","59.95","59.95","42","","Final"
"01.01.2018 19:30 - 01.01.2018 20:00","59.95","59.95","35","","Final"
"01.01.2018 20:00 - 01.01.2018 20:30","39.07","39.07","69","","Final"
"01.01.2018 20:30 - 01.01.2018 21:00","38.08","38.08","386","","Final"
"01.01.2018 21:00 - 01.01.2018 21:30","38.31","38.31","245","","Final"
"01.01.2018 21:30 - 01.01.2018 22:00","38.00","38.00","317","","Final"
"01.01.2018 22:00 - 01.01.2018 22:30","33.52","33.52","554","","Final"
"01.01.2018 22:30 - 01.01.2018 23:00","30.92","30.92","751","","Final"
"01.01.2018 23:00 - 01.01.2018 23:30","28.08","28.08","622","","Final"
"01.01.2018 23:30 - 02.01.2018 00:00","24.67","24.67","775","","Final"
"02.01.2018 00:00 - 02.01.2018 00:30","23.06","23.06","955","","Final"
"02.01.2018 00:30 - 02.01.2018 01:00","25.00","25.00","519","","Final"
"02.01.2018 01:00 - 02.01.2018 01:30","22.00","22.00","377","","Final"
"02.01.2018 01:30 - 02.01.2018 02:00","22.00","22.00","354","","Final"
"02.01.2018 02:00 - 02.01.2018 02:30","28.22","28.22","236","","Final"
"02.01.2018 02:30 - 02.01.2018 03:00","59.49","59.49","1","","Final"
"02.01.2018 03:00 - 02.01.2018 03:30","65.00","65.00","349","","Final"
"02.01.2018 03:30 - 02.01.2018 04:00","65.00","65.00","322","","Final"
"02.01.2018 04:00 - 02.01.2018 04:30","62.50","62.50","247","","Final"
"02.01.2018 04:30 - 02.01.2018 05:00","61.75","61.75","158","","Final"
"02.01.2018 05:00 - 02.01.2018 05:30","62.52","62.52","143","","Final"
"02.01.2018 05:30 - 02.01.2018 06:00","64.94","64.94","177","","Final"
"02.01.2018 06:00 - 02.01.2018 06:30","64.94","64.94","152","","Final"
"02.01.2018 06:30 - 02.01.2018 07:00","34.02","34.02","754","","Final"
"02.01.2018 07:00 - 02.01.2018 07:30","30.07","30.07","1418","","Final"
"02.01.2018 07:30 - 02.01.2018 08:00","31.22","31.22","1869","","Final"
"02.01.2018 08:00 - 02.01.2018 08:30","31.50","31.50","1771","","Final"
"02.01.2018 08:30 - 02.01.2018 09:00","33.65","33.65","1297","","Final"
"02.01.2018 09:00 - 02.01.2018 09:30","35.51","35.51","922","","Final"
"02.01.2018 09:30 - 02.01.2018 10:00","36.21","36.21","407","","Final"
"02.01.2018 10:00 - 02.01.2018 10:30","68.50","68.50","148","","Final"
"02.01.2018 10:30 - 02.01.2018 11:00","105.00","105.00","546","","Final"
"02.01.2018 11:00 - 02.01.2018 11:30","68.50","68.50","652","","Final"
"02.01.2018 11:30 - 02.01.2018 12:00","68.50","68.50","510","","Final"
"02.01.2018 12:00 - 02.01.2018 12:30","65.66","65.66","275","","Final"
"02.01.2018 12:30 - 02.01.2018 13:00","39.33","39.33","5","","Final"
"02.01.2018 13:00 - 02.01.2018 13:30","39.07","39.07","44","","Final"
"02.01.2018 13:30 - 02.01.2018 14:00","39.07","39.07","279","","Final"
"02.01.2018 14:00 - 02.01.2018 14:30","39.06","39.06","236","","Final"
"02.01.2018 14:30 - 02.01.2018 15:00","37.99","37.99","458","","Final"
"02.01.2018 15:00 - 02.01.2018 15:30","37.21","37.21","760","","Final"
"02.01.2018 15:30 - 02.01.2018 16:00","37.57","37.57","770","","Final"
"02.01.2018 16:00 - 02.01.2018 16:30","39.09","39.09","300","","Final"
"02.01.2018 16:30 - 02.01.2018 17:00","39.12","39.12","189","","Final"
"02.01.2018 17:00 - 02.01.2018 17:30","40.39","40.39","74","","Final"
"02.01.2018 17:30 - 02.01.2018 18:00","94.90","94.90","180","","Final"
"02.01.2018 18:00 - 02.01.2018 18:30","94.90","94.90","104","","Final"
"02.01.2018 18:30 - 02.01.2018 19:00","43.74","43.74","42","","Final"
"02.01.2018 19:00 - 02.01.2018 19:30","39.08","39.08","428","","Final"
"02.01.2018 19:30 - 02.01.2018 20:00","38.02","38.02","785","","Final"
"02.01.2018 20:00 - 02.01.2018 20:30","38.00","38.00","706","","Final"
"02.01.2018 20:30 - 02.01.2018 21:00","37.55","37.55","719","","Final"
"02.01.2018 21:00 - 02.01.2018 21:30","38.04","38.04","446","","Final"
"02.01.2018 21:30 - 02.01.2018 22:00","38.16","38.16","357","","Final"
"02.01.2018 22:00 - 02.01.2018 22:30","37.19","37.19","466","","Final"
"02.01.2018 22:30 - 02.01.2018 23:00","39.08","39.08","122","","Final"
"02.01.2018 23:00 - 02.01.2018 23:30","68.00","68.00","168","","Final"
"02.01.2018 23:30 - 03.01.2018 00:00","68.00","68.00","206","","Final"
"03.01.2018 00:00 - 03.01.2018 00:30","68.00","68.00","160","","Final"
"03.01.2018 00:30 - 03.01.2018 01:00","68.00","68.00","127","","Final"
"03.01.2018 01:00 - 03.01.2018 01:30","74.00","74.00","123","","Final"
"03.01.2018 01:30 - 03.01.2018 02:00","72.02","72.02","52","","Final"
"03.01.2018 02:00 - 03.01.2018 02:30","36.42","36.42","33","","Final"
"03.01.2018 02:30 - 03.01.2018 03:00","36.00","36.00","109","","Final"
"03.01.2018 03:00 - 03.01.2018 03:30","36.42","36.42","55","","Final"
"03.01.2018 03:30 - 03.01.2018 04:00","74.00","74.00","225","","Final"
"03.01.2018 04:00 - 03.01.2018 04:30","69.14","69.14","207","","Final"
"03.01.2018 04:30 - 03.01.2018 05:00","63.50","63.50","93","","Final"
"03.01.2018 05:00 - 03.01.2018 05:30","63.50","63.50","63","","Final"
"03.01.2018 05:30 - 03.01.2018 06:00","37.32","37.32","83","","Final"
"03.01.2018 06:00 - 03.01.2018 06:30","63.50","63.50","55","","Final"
"03.01.2018 06:30 - 03.01.2018 07:00","37.00","37.00","254","","Final"
"03.01.2018 07:00 - 03.01.2018 07:30","37.09","37.09","564","","Final"
"03.01.2018 07:30 - 03.01.2018 08:00","37.00","37.00","827","","Final"
"03.01.2018 08:00 - 03.01.2018 08:30","35.83","35.83","1069","","Final"
"03.01.2018 08:30 - 03.01.2018 09:00","37.10","37.10","804","","Final"
"03.01.2018 09:00 - 03.01.2018 09:30","37.42","37.42","570","","Final"
"03.01.2018 09:30 - 03.01.2018 10:00","38.08","38.08","447","","Final"
"03.01.2018 10:00 - 03.01.2018 10:30","37.00","37.00","531","","Final"
"03.01.2018 10:30 - 03.01.2018 11:00","37.04","37.04","527","","Final"
"03.01.2018 11:00 - 03.01.2018 11:30","36.00","36.00","631","","Final"
"03.01.2018 11:30 - 03.01.2018 12:00","37.00","37.00","578","","Final"
"03.01.2018 12:00 - 03.01.2018 12:30","39.40","39.40","92","","Final"
"03.01.2018 12:30 - 03.01.2018 13:00","38.50","38.50","89","","Final"
"03.01.2018 13:00 - 03.01.2018 13:30","38.19","38.19","225","","Final"
"03.01.2018 13:30 - 03.01.2018 14:00","38.00","38.00","280","","Final"
"03.01.2018 14:00 - 03.01.2018 14:30","39.50","39.50","105","","Final"
"03.01.2018 14:30 - 03.01.2018 15:00","68.50","68.50","38","","Final"
"03.01.2018 15:00 - 03.01.2018 15:30","40.10","40.10","25","","Final"
"03.01.2018 15:30 - 03.01.2018 16:00","92.06","92.06","21","","Final"
"03.01.2018 16:00 - 03.01.2018 16:30","38.55","38.55","319","","Final"
"03.01.2018 16:30 - 03.01.2018 17:00","92.06","92.06","62","","Final"
"03.01.2018 17:00 - 03.01.2018 17:30","98.16","98.16","181","","Final"
"03.01.2018 17:30 - 03.01.2018 18:00","98.16","98.16","272","","Final"
"03.01.2018 18:00 - 03.01.2018 18:30","98.16","98.16","210","","Final"
"03.01.2018 18:30 - 03.01.2018 19:00","39.30","39.30","199","","Final"
"03.01.2018 19:00 - 03.01.2018 19:30","38.60","38.60","160","","Final"
"03.01.2018 19:30 - 03.01.2018 20:00","38.20","38.20","396","","Final"
