"Time (CET)","Day-ahead Total Load Forecast [MW] - United Kingdom (UK)","Actual Total Load [MW] - United Kingdom (UK)"
"01.01.2019 00:00 - 01.01.2019 00:30","27317","27264"
"01.01.2019 00:30 - 01.01.2019 01:00","27303","26873"
"01.01.2019 01:00 - 01.01.2019 01:30","27975","27480"
"01.01.2019 01:30 - 01.01.2019 02:00","28315","28183"
"01.01.2019 02:00 - 01.01.2019 02:30","27455","28156"
"01.01.2019 02:30 - 01.01.2019 03:00","26264","27112"
"01.01.2019 03:00 - 01.01.2019 03:30","25365","25592"
"01.01.2019 03:30 - 01.01.2019 04:00","24617","24777"
"01.01.2019 04:00 - 01.01.2019 04:30","23756","22916"
"01.01.2019 04:30 - 01.01.2019 05:00","23033","22501"
"01.01.2019 05:00 - 01.01.2019 05:30","22663","21754"
"01.01.2019 05:30 - 01.01.2019 06:00","22474","21475"
"01.01.2019 06:00 - 01.01.2019 06:30","22422","21400"
"01.01.2019 06:30 - 01.01.2019 07:00","22830","21653"
"01.01.2019 07:00 - 01.01.2019 07:30","23326","22323"
"01.01.2019 07:30 - 01.01.2019 08:00","23691","22955"
"01.01.2019 08:00 - 01.01.2019 08:30","23907","24677"
"01.01.2019 08:30 - 01.01.2019 09:00","24126","25374"
"01.01.2019 09:00 - 01.01.2019 09:30","24952","26271"
"01.01.2019 09:30 - 01.01.2019 10:00","26305","27124"
"01.01.2019 10:00 - 01.01.2019 10:30","27750","29186"
"01.01.2019 10:30 - 01.01.2019 11:00","29136","30632"
"01.01.2019 11:00 - 01.01.2019 11:30","30481","32378"
"01.01.2019 11:30 - 01.01.2019 12:00","31768","33661"
"01.01.2019 12:00 - 01.01.2019 12:30","32901","34862"
"01.01.2019 12:30 - 01.01.2019 13:00","33644","35573"
"01.01.2019 13:00 - 01.01.2019 13:30","33947","36150"
"01.01.2019 13:30 - 01.01.2019 14:00","34378","36389"
"01.01.2019 14:00 - 01.01.2019 14:30","34758","36385"
"01.01.2019 14:30 - 01.01.2019 15:00","34650","36030"
"01.01.2019 15:00 - 01.01.2019 15:30","34431","35980"
"01.01.2019 15:30 - 01.01.2019 16:00","34339","35943"
"01.01.2019 16:00 - 01.01.2019 16:30","34755","36105"
"01.01.2019 16:30 - 01.01.2019 17:00","35818","36682"
"01.01.2019 17:00 - 01.01.2019 17:30","37942","38300"
"01.01.2019 17:30 - 01.01.2019 18:00","39658","40361"
