"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"United Kingdom (UK)","01.01.2015 00:00 - 01.01.2015 00:30 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","0","n/e","0","381"
"United Kingdom (UK)","01.01.2015 00:30 - 01.01.2015 01:00 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","0","n/e","0","385"
"United Kingdom (UK)","01.01.2015 01:00 - 01.01.2015 01:30 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","0","n/e","117","1050"
"United Kingdom (UK)","01.01.2015 01:30 - 01.01.2015 02:00 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","0","n/e","117","1031"
"United Kingdom (UK)","01.01.2015 02:00 - 01.01.2015 02:30 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","0","n/e","120","1032"
"United Kingdom (UK)","01.01.2015 02:30 - 01.01.2015 03:00 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","0","n/e","120","1008"
"United Kingdom (UK)","01.01.2015 03:00 - 01.01.2015 03:30 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","0","n/e","114","942"
"United Kingdom (UK)","01.01.2015 03:30 - 01.01.2015 04:00 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","0","n/e","115","935"
"United Kingdom (UK)","01.01.2015 04:00 - 01.01.2015 04:30 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","0","n/e","115","936"
"United Kingdom (UK)","01.01.2015 04:30 - 01.01.2015 05:00 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","0","n/e","112","932"
"United Kingdom (UK)","01.01.2015 05:00 - 01.01.2015 05:30 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","0","n/e","112","924"
"United Kingdom (UK)","01.01.2015 05:30 - 01.01.2015 06:00 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","0","n/e","107","929"
"United Kingdom (UK)","01.01.2015 06:00 - 01.01.2015 06:30 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","0","n/e","107","937"
"United Kingdom (UK)","01.01.2015 06:30 - 01.01.2015 07:00 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","0","n/e","105","950"
"United Kingdom (UK)","01.01.2015 07:00 - 01.01.2015 07:30 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","0","n/e","105","939"
"United Kingdom (UK)","01.01.2015 07:30 - 01.01.2015 08:00 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","0","n/e","117","970"
"United Kingdom (UK)","01.01.2015 08:00 - 01.01.2015 08:30 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","0","n/e","127","997"
"United Kingdom (UK)","01.01.2015 08:30 - 01.01.2015 09:00 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","0","n/e","127","984"
"United Kingdom (UK)","01.01.2015 09:00 - 01.01.2015 09:30 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","14","n/e","134","992"
"United Kingdom (UK)","01.01.2015 09:30 - 01.01.2015 10:00 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","13","n/e","134","987"
"United Kingdom (UK)","01.01.2015 10:00 - 01.01.2015 10:30 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","65","n/e","142","1065"
"United Kingdom (UK)","01.01.2015 10:30 - 01.01.2015 11:00 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","61","n/e","142","1092"
"United Kingdom (UK)","01.01.2015 11:00 - 01.01.2015 11:30 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","56","n/e","142","1092"
"United Kingdom (UK)","01.01.2015 11:30 - 01.01.2015 12:00 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","52","n/e","151","1126"
"United Kingdom (UK)","01.01.2015 12:00 - 01.01.2015 12:30 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","48","n/e","157","1166"
"United Kingdom (UK)","01.01.2015 12:30 - 01.01.2015 13:00 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","43","n/e","157","1157"
"United Kingdom (UK)","01.01.2015 13:00 - 01.01.2015 13:30 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","39","n/e","161","1177"
"United Kingdom (UK)","01.01.2015 13:30 - 01.01.2015 14:00 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","35","n/e","161","1207"
"United Kingdom (UK)","01.01.2015 14:00 - 01.01.2015 14:30 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","30","n/e","165","1221"
"United Kingdom (UK)","01.01.2015 14:30 - 01.01.2015 15:00 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","26","n/e","165","1218"
"United Kingdom (UK)","01.01.2015 15:00 - 01.01.2015 15:30 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","103","n/e","159","1201"
"United Kingdom (UK)","01.01.2015 15:30 - 01.01.2015 16:00 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","82","n/e","162","1204"
"United Kingdom (UK)","01.01.2015 16:00 - 01.01.2015 16:30 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","62","n/e","168","1249"
"United Kingdom (UK)","01.01.2015 16:30 - 01.01.2015 17:00 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","41","n/e","168","1290"
"United Kingdom (UK)","01.01.2015 17:00 - 01.01.2015 17:30 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","0","n/e","168","1249"
"United Kingdom (UK)","01.01.2015 17:30 - 01.01.2015 18:00 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","0","n/e","176","1238"
"United Kingdom (UK)","01.01.2015 18:00 - 01.01.2015 18:30 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","0","n/e","176","1212"
"United Kingdom (UK)","01.01.2015 18:30 - 01.01.2015 19:00 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","0","n/e","181","1208"
"United Kingdom (UK)","01.01.2015 19:00 - 01.01.2015 19:30 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","0","n/e","184","1228"
"United Kingdom (UK)","01.01.2015 19:30 - 01.01.2015 20:00 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","0","n/e","184","1223"
"United Kingdom (UK)","01.01.2015 20:00 - 01.01.2015 20:30 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","0","n/e","183","1236"
"United Kingdom (UK)","01.01.2015 20:30 - 01.01.2015 21:00 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","0","n/e","183","1231"
"United Kingdom (UK)","01.01.2015 21:00 - 01.01.2015 21:30 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","0","n/e","175","1234"
"United Kingdom (UK)","01.01.2015 21:30 - 01.01.2015 22:00 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","0","n/e","0","n/e","176","1224"
