Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2017-09-26T00:00Z,298,299,moderate
2017-09-26T00:30Z,302,293,high
2017-09-26T01:00Z,306,295,high
2017-09-26T01:30Z,306,290,high
2017-09-26T02:00Z,304,289,high
2017-09-26T02:30Z,303,295,high
2017-09-26T03:00Z,303,293,high
2017-09-26T03:30Z,301,301,high
2017-09-26T04:00Z,300,299,high
2017-09-26T04:30Z,295,297,moderate
2017-09-26T05:00Z,303,301,high
2017-09-26T05:30Z,306,301,high
2017-09-26T06:00Z,316,317,high
2017-09-26T06:30Z,323,324,high
2017-09-26T07:00Z,325,332,high
2017-09-26T07:30Z,322,336,high
2017-09-26T08:00Z,323,337,high
2017-09-26T08:30Z,318,327,high
2017-09-26T09:00Z,315,324,high
2017-09-26T09:30Z,310,313,high
2017-09-26T10:00Z,306,307,high
2017-09-26T10:30Z,311,296,high
2017-09-26T11:00Z,309,292,high
2017-09-26T11:30Z,309,294,high
2017-09-26T12:00Z,305,292,high
2017-09-26T12:30Z,302,304,high
2017-09-26T13:00Z,301,299,high
2017-09-26T13:30Z,301,303,high
2017-09-26T14:00Z,301,304,high
2017-09-26T14:30Z,301,298,high
2017-09-26T15:00Z,305,306,high
2017-09-26T15:30Z,284,306,moderate
2017-09-26T16:00Z,308,314,high
2017-09-26T16:30Z,319,320,high
2017-09-26T17:00Z,326,324,high
2017-09-26T17:30Z,335,317,high
2017-09-26T18:00Z,337,316,high
2017-09-26T18:30Z,330,315,high
2017-09-26T19:00Z,328,315,high
2017-09-26T19:30Z,327,332,high
2017-09-26T20:00Z,314,327,high
2017-09-26T20:30Z,311,322,high
2017-09-26T21:00Z,300,305,high
2017-09-26T21:30Z,281,272,moderate
2017-09-26T22:00Z,265,256,moderate
2017-09-26T22:30Z,247,231,moderate
2017-09-26T23:00Z,236,220,moderate
2017-09-26T23:30Z,239,224,moderate
2017-09-27T00:00Z,243,219,moderate
2017-09-27T00:30Z,244,230,moderate
2017-09-27T01:00Z,245,232,moderate
2017-09-27T01:30Z,246,237,moderate
2017-09-27T02:00Z,239,234,moderate
2017-09-27T02:30Z,240,232,moderate
2017-09-27T03:00Z,238,231,moderate
2017-09-27T03:30Z,236,223,moderate
2017-09-27T04:00Z,236,219,moderate
2017-09-27T04:30Z,242,213,moderate
2017-09-27T05:00Z,245,214,moderate
2017-09-27T05:30Z,258,226,moderate
2017-09-27T06:00Z,274,247,moderate
2017-09-27T06:30Z,276,275,moderate
2017-09-27T07:00Z,273,285,moderate
2017-09-27T07:30Z,272,291,moderate
2017-09-27T08:00Z,268,286,moderate
2017-09-27T08:30Z,266,261,moderate
2017-09-27T09:00Z,263,256,moderate
2017-09-27T09:30Z,266,226,moderate
2017-09-27T10:00Z,261,222,moderate
2017-09-27T10:30Z,255,223,moderate
2017-09-27T11:00Z,252,219,moderate
2017-09-27T11:30Z,251,215,moderate
2017-09-27T12:00Z,250,212,moderate
2017-09-27T12:30Z,250,252,moderate
2017-09-27T13:00Z,249,249,moderate
2017-09-27T13:30Z,238,248,moderate
2017-09-27T14:00Z,236,249,moderate
2017-09-27T14:30Z,235,233,moderate
2017-09-27T15:00Z,236,235,moderate
2017-09-27T15:30Z,241,241,moderate
2017-09-27T16:00Z,250,250,moderate
2017-09-27T16:30Z,235,235,moderate
2017-09-27T17:00Z,263,238,moderate
2017-09-27T17:30Z,265,239,moderate
2017-09-27T18:00Z,261,238,moderate
2017-09-27T18:30Z,262,252,moderate
2017-09-27T19:00Z,258,252,moderate
2017-09-27T19:30Z,253,272,moderate
2017-09-27T20:00Z,242,262,moderate
2017-09-27T20:30Z,231,251,moderate
2017-09-27T21:00Z,224,243,moderate
2017-09-27T21:30Z,223,198,moderate
2017-09-27T22:00Z,210,187,moderate
