"MTU (UTC)","Day-ahead Price [GBP/MWh]"
"01.01.2016 00:00 - 01.01.2016 01:00","31.10"
"01.01.2016 01:00 - 01.01.2016 02:00","37.58"
"01.01.2016 02:00 - 01.01.2016 03:00","36.53"
"01.01.2016 03:00 - 01.01.2016 04:00","29.91"
"01.01.2016 04:00 - 01.01.2016 05:00","27.96"
"01.01.2016 05:00 - 01.01.2016 06:00","29.88"
"01.01.2016 06:00 - 01.01.2016 07:00","18.04"
"01.01.2016 07:00 - 01.01.2016 08:00","12.75"
"01.01.2016 08:00 - 01.01.2016 09:00","14.21"
"01.01.2016 09:00 - 01.01.2016 10:00","20.00"
"01.01.2016 10:00 - 01.01.2016 11:00","31.07"
"01.01.2016 11:00 - 01.01.2016 12:00","34.98"
"01.01.2016 12:00 - 01.01.2016 13:00","40.90"
"01.01.2016 13:00 - 01.01.2016 14:00","37.25"
"01.01.2016 14:00 - 01.01.2016 15:00","31.53"
"01.01.2016 15:00 - 01.01.2016 16:00","34.52"
"01.01.2016 16:00 - 01.01.2016 17:00","46.41"
"01.01.2016 17:00 - 01.01.2016 18:00","64.50"
"01.01.2016 18:00 - 01.01.2016 19:00","39.55"
"01.01.2016 19:00 - 01.01.2016 20:00","37.51"
"01.01.2016 20:00 - 01.01.2016 21:00","35.00"
"01.01.2016 21:00 - 01.01.2016 22:00","34.94"
"01.01.2016 22:00 - 01.01.2016 23:00","26.91"
"01.01.2016 23:00 - 02.01.2016 00:00","33.60"
"02.01.2016 00:00 - 02.01.2016 01:00","34.07"
"02.01.2016 01:00 - 02.01.2016 02:00","32.96"
"02.01.2016 02:00 - 02.01.2016 03:00","21.53"
"02.01.2016 03:00 - 02.01.2016 04:00","18.00"
"02.01.2016 04:00 - 02.01.2016 05:00","9.90"
"02.01.2016 05:00 - 02.01.2016 06:00","14.97"
"02.01.2016 06:00 - 02.01.2016 07:00","20.74"
"02.01.2016 07:00 - 02.01.2016 08:00","17.00"
"02.01.2016 08:00 - 02.01.2016 09:00","24.62"
"02.01.2016 09:00 - 02.01.2016 10:00","34.93"
"02.01.2016 10:00 - 02.01.2016 11:00","43.60"
"02.01.2016 11:00 - 02.01.2016 12:00","38.90"
"02.01.2016 12:00 - 02.01.2016 13:00","43.27"
"02.01.2016 13:00 - 02.01.2016 14:00","37.10"
"02.01.2016 14:00 - 02.01.2016 15:00","35.22"
"02.01.2016 15:00 - 02.01.2016 16:00","32.04"
"02.01.2016 16:00 - 02.01.2016 17:00","32.50"
"02.01.2016 17:00 - 02.01.2016 18:00","70.00"
"02.01.2016 18:00 - 02.01.2016 19:00","55.08"
"02.01.2016 19:00 - 02.01.2016 20:00","40.84"
"02.01.2016 20:00 - 02.01.2016 21:00","37.55"
"02.01.2016 21:00 - 02.01.2016 22:00","33.98"
"02.01.2016 22:00 - 02.01.2016 23:00","33.15"
"02.01.2016 23:00 - 03.01.2016 00:00","37.56"
"03.01.2016 00:00 - 03.01.2016 01:00","37.51"
"03.01.2016 01:00 - 03.01.2016 02:00","37.53"
"03.01.2016 02:00 - 03.01.2016 03:00","34.96"
"03.01.2016 03:00 - 03.01.2016 04:00","34.49"
"03.01.2016 04:00 - 03.01.2016 05:00","29.82"
"03.01.2016 05:00 - 03.01.2016 06:00","29.82"
"03.01.2016 06:00 - 03.01.2016 07:00","25.41"
"03.01.2016 07:00 - 03.01.2016 08:00","28.21"
"03.01.2016 08:00 - 03.01.2016 09:00","24.98"
"03.01.2016 09:00 - 03.01.2016 10:00","30.22"
"03.01.2016 10:00 - 03.01.2016 11:00","31.03"
"03.01.2016 11:00 - 03.01.2016 12:00","33.82"
"03.01.2016 12:00 - 03.01.2016 13:00","39.63"
"03.01.2016 13:00 - 03.01.2016 14:00","36.03"
"03.01.2016 14:00 - 03.01.2016 15:00","34.50"
"03.01.2016 15:00 - 03.01.2016 16:00","30.24"
"03.01.2016 16:00 - 03.01.2016 17:00","35.00"
"03.01.2016 17:00 - 03.01.2016 18:00","70.00"
"03.01.2016 18:00 - 03.01.2016 19:00","50.86"
"03.01.2016 19:00 - 03.01.2016 20:00","40.00"
"03.01.2016 20:00 - 03.01.2016 21:00","38.00"
"03.01.2016 21:00 - 03.01.2016 22:00","33.98"
"03.01.2016 22:00 - 03.01.2016 23:00","32.05"
"03.01.2016 23:00 - 04.01.2016 00:00","33.75"
"04.01.2016 00:00 - 04.01.2016 01:00","31.81"
"04.01.2016 01:00 - 04.01.2016 02:00","35.55"
"04.01.2016 02:00 - 04.01.2016 03:00","35.39"
"04.01.2016 03:00 - 04.01.2016 04:00","33.91"
"04.01.2016 04:00 - 04.01.2016 05:00","30.06"
"04.01.2016 05:00 - 04.01.2016 06:00","29.82"
"04.01.2016 06:00 - 04.01.2016 07:00","29.93"
"04.01.2016 07:00 - 04.01.2016 08:00","30.57"
"04.01.2016 08:00 - 04.01.2016 09:00","35.04"
"04.01.2016 09:00 - 04.01.2016 10:00","37.99"
"04.01.2016 10:00 - 04.01.2016 11:00","37.08"
"04.01.2016 11:00 - 04.01.2016 12:00","40.11"
"04.01.2016 12:00 - 04.01.2016 13:00","40.20"
"04.01.2016 13:00 - 04.01.2016 14:00","38.05"
"04.01.2016 14:00 - 04.01.2016 15:00","35.05"
"04.01.2016 15:00 - 04.01.2016 16:00","34.52"
"04.01.2016 16:00 - 04.01.2016 17:00","40.79"
"04.01.2016 17:00 - 04.01.2016 18:00","78.27"
"04.01.2016 18:00 - 04.01.2016 19:00","42.81"
"04.01.2016 19:00 - 04.01.2016 20:00","40.55"
"04.01.2016 20:00 - 04.01.2016 21:00","43.00"
"04.01.2016 21:00 - 04.01.2016 22:00","36.06"
"04.01.2016 22:00 - 04.01.2016 23:00","34.00"
"04.01.2016 23:00 - 05.01.2016 00:00","30.93"
"05.01.2016 00:00 - 05.01.2016 01:00","29.99"
"05.01.2016 01:00 - 05.01.2016 02:00","31.95"
"05.01.2016 02:00 - 05.01.2016 03:00","29.97"
"05.01.2016 03:00 - 05.01.2016 04:00","27.99"
"05.01.2016 04:00 - 05.01.2016 05:00","24.32"
"05.01.2016 05:00 - 05.01.2016 06:00","29.91"
"05.01.2016 06:00 - 05.01.2016 07:00","43.01"
"05.01.2016 07:00 - 05.01.2016 08:00","36.10"
"05.01.2016 08:00 - 05.01.2016 09:00","37.01"
"05.01.2016 09:00 - 05.01.2016 10:00","36.20"
"05.01.2016 10:00 - 05.01.2016 11:00","35.86"
"05.01.2016 11:00 - 05.01.2016 12:00","37.91"
"05.01.2016 12:00 - 05.01.2016 13:00","38.80"
"05.01.2016 13:00 - 05.01.2016 14:00","34.95"
"05.01.2016 14:00 - 05.01.2016 15:00","30.74"
"05.01.2016 15:00 - 05.01.2016 16:00","30.70"
"05.01.2016 16:00 - 05.01.2016 17:00","43.03"
"05.01.2016 17:00 - 05.01.2016 18:00","74.96"
"05.01.2016 18:00 - 05.01.2016 19:00","49.04"
"05.01.2016 19:00 - 05.01.2016 20:00","41.92"
"05.01.2016 20:00 - 05.01.2016 21:00","38.74"
"05.01.2016 21:00 - 05.01.2016 22:00","37.05"
"05.01.2016 22:00 - 05.01.2016 23:00","30.35"
"05.01.2016 23:00 - 06.01.2016 00:00","32.37"
"06.01.2016 00:00 - 06.01.2016 01:00","30.40"
"06.01.2016 01:00 - 06.01.2016 02:00","32.44"
"06.01.2016 02:00 - 06.01.2016 03:00","30.53"
"06.01.2016 03:00 - 06.01.2016 04:00","29.92"
"06.01.2016 04:00 - 06.01.2016 05:00","24.07"
"06.01.2016 05:00 - 06.01.2016 06:00","30.00"
"06.01.2016 06:00 - 06.01.2016 07:00","38.03"
"06.01.2016 07:00 - 06.01.2016 08:00","36.74"
"06.01.2016 08:00 - 06.01.2016 09:00","42.90"
"06.01.2016 09:00 - 06.01.2016 10:00","43.59"
"06.01.2016 10:00 - 06.01.2016 11:00","40.05"
